amount,hour,location_match,device_match,failed_attempts,is_fraud
534.3896532174433,1,0,0,4,1
247.12904553503836,12,1,1,0,0
87.19519599156766,20,1,1,0,0
269.63835725607566,7,1,1,0,0
25667.587539163036,4,0,0,4,1
1722.7197800687252,2,0,0,4,1
4240.730882415546,1,0,0,3,1
86.49183965796787,16,1,1,0,0
11734.899188446097,2,0,0,3,1
98.74429229168085,14,1,1,0,0
47.7956507738863,16,1,1,0,0
13.740432891690835,18,1,1,0,0
16806.676211237882,1,0,0,4,1
2901.184347206759,3,0,0,3,1
12511.260134029782,2,0,0,3,1
358.37139542639454,14,1,1,0,0
11125.559746950938,4,0,0,3,1
3101.688472046897,2,0,0,4,1
227.98126342103166,9,1,1,0,0
323.81710490903953,12,1,1,0,0
285.64590288812474,13,1,1,0,0
89.15657065983322,14,1,1,0,0
48510.150323745234,1,0,0,4,1
9237.86042741139,1,0,0,4,1
594.4831805926875,13,1,1,0,0
35444.67347850476,1,0,0,4,1
18646.573637290327,0,0,0,3,1
10086.631529348348,2,0,0,3,1
10894.86958905657,3,0,0,4,1
2317.058856618738,18,1,1,0,0
684.730777865437,7,1,1,0,0
7463.239998010386,2,0,0,3,1
26180.10492632659,4,0,0,4,1
33054.86673322976,4,0,0,3,1
17050.682563167895,4,0,0,4,1
1408.6374148887587,0,0,0,4,1
946.2957202420109,4,0,0,4,1
368.68156129686537,7,1,1,0,0
5893.119177303294,4,0,0,4,1
418.0496966936597,1,0,0,4,1
2656.08520814068,3,0,0,3,1
22668.56494685518,3,0,0,3,1
389.6640103117783,20,1,1,0,0
828.5764942538907,13,1,1,0,0
21883.40777653192,4,0,0,3,1
68960.24956839239,4,0,0,4,1
22356.4073479917,1,0,0,4,1
178.82724945731331,19,1,1,0,0
4326.156243068183,4,0,0,4,1
661.9463206455183,8,1,1,0,0
63.089904508178996,2,0,0,4,1
963.66522859432,0,0,0,3,1
23595.661138664305,0,0,0,4,1
14201.285336181956,3,0,0,4,1
25.92848270155308,8,1,1,0,0
84919.77814737255,0,0,0,4,1
